,Year,Quarter,Month,Employee,Cost Object,Paid FTE,Salary,Overhead,Total Expenses
103,2010,Q3,7,Employee 71,::DC/GO/CIS/BY/Minsk,0.9999999301781003,1300.0,609.6204000000002,1909.6204000000002
104,2010,Q3,7,Employee 75,::DC/GO/CIS/BY/Minsk,0.9047618458661274,1130.9523,551.5616000000001,1682.5139
105,2010,Q3,7,Employee 76,::DC/GO/CIS/BY/Minsk,1.0,1500.0,609.6207,2109.6207
106,2010,Q3,7,Employee 86,::DC/GO/CIS/BY/Minsk,0.8421052369680887,1178.9473,513.3649,1692.3122
107,2010,Q3,8,Employee 13,::DC/GO/CIS/BY/Minsk,1.0,1400.0,676.5167000000006,2076.5167000000006
108,2010,Q3,8,Employee 26,::DC/GO/CIS/BY/Minsk,1.0,1250.0,676.5166999999994,1926.5166999999994
109,2010,Q3,8,Employee 27,::DC/GO/CIS/BY/Minsk,1.0,1250.0,676.5167000000001,1926.5167000000001
110,2010,Q3,8,Employee 71,::DC/GO/CIS/BY/Minsk,0.45454545454545453,590.9091,307.5074999999998,898.4165999999998
111,2010,Q3,8,Employee 75,::DC/GO/CIS/BY/Minsk,1.000000062288586,1250.0,676.5168000000001,1926.5168
112,2010,Q3,8,Employee 76,::DC/GO/CIS/BY/Minsk,1.0,1500.0,676.5166999999997,2176.5166999999997
113,2010,Q3,8,Employee 86,::DC/GO/CIS/BY/Minsk,1.0000000179190955,1400.0001,676.5167,2076.5168
114,2010,Q3,9,Employee 13,::DC/GO/CIS/BY/Minsk,1.0000000590323321,1400.0,614.0501,2014.0501
115,2010,Q3,9,Employee 26,::DC/GO/CIS/BY/Minsk,0.9999999836030238,1250.0,614.05,1864.05
116,2010,Q3,9,Employee 27,::DC/GO/CIS/BY/Minsk,0.9999999509270222,1250.0,614.0500999999997,1864.0500999999997
117,2010,Q3,9,Employee 71,::DC/GO/CIS/BY/Minsk,1.0000000428525115,1299.9999,614.0501999999998,1914.0500999999997
118,2010,Q3,9,Employee 75,::DC/GO/CIS/BY/Minsk,0.9999999331898626,1250.0,614.0502000000001,1864.0502000000001
119,2010,Q3,9,Employee 76,::DC/GO/CIS/BY/Minsk,0.9999999911763784,1499.9998999999998,614.0500000000001,2114.0499
120,2010,Q3,9,Employee 77,::DC/GO/CIS/BY/Minsk,0.5,575.0,307.0249000000001,882.0249000000001
121,2010,Q3,9,Employee 86,::DC/GO/CIS/BY/Minsk,1.0,1400.0,614.0501000000002,2014.0501000000002
122,2010,Q4,10,Employee 13,::DC/GO/CIS/BY/Minsk,1.0000000280604042,1399.9999,637.2294999999998,2037.2293999999997
123,2010,Q4,10,Employee 27,::DC/GO/CIS/BY/Minsk,0.9999999719933079,1250.0,637.2293000000002,1887.2293000000002
124,2010,Q4,10,Employee 71,::DC/GO/CIS/BY/Minsk,0.9999999591301841,1299.9998999999998,637.2295,1937.2294
125,2010,Q4,10,Employee 75,::DC/GO/CIS/BY/Minsk,0.9999999873659148,1250.0001,637.2291999999998,1887.2292999999997
126,2010,Q4,10,Employee 76,::DC/GO/CIS/BY/Minsk,1.0000000451258617,1500.0001,637.2293,2137.2293999999997
127,2010,Q4,10,Employee 77,::DC/GO/CIS/BY/Minsk,0.5,575.0,318.6146,893.6146
128,2010,Q4,10,Employee 86,::DC/GO/CIS/BY/Minsk,1.0,1400.0,637.2293,2037.2293
129,2010,Q4,11,Employee 13,::DC/GO/CIS/BY/Minsk,0.9999999269618101,1400.0,589.6517000000001,1989.6517000000001
130,2010,Q4,11,Employee 27,::DC/GO/CIS/BY/Minsk,0.9999998539814272,1250.0,589.6515999999999,1839.6516
131,2010,Q4,11,Employee 71,::DC/GO/CIS/BY/Minsk,1.0000000702279788,1299.9999,589.6516999999999,1889.6515999999997
132,2010,Q4,11,Employee 75,::DC/GO/CIS/BY/Minsk,0.999999939904355,1250.0,589.6515,1839.6515000000002
133,2010,Q4,11,Employee 76,::DC/GO/CIS/BY/Minsk,0.9999999508699002,1499.9998999999998,589.6517,2089.6516
134,2010,Q4,11,Employee 77,::DC/GO/CIS/BY/Minsk,0.5,575.0,294.82589999999993,869.8258999999999
135,2010,Q4,11,Employee 86,::DC/GO/CIS/BY/Minsk,1.0,1400.0,589.6517999999996,1989.6517999999996
136,2010,Q2,4,Employee 12,::DC/GO/CIS/BY/Minsk,0.9999999952471811,2000.0001000000002,677.8365999999999,2677.8367
137,2010,Q2,5,Employee 12,::DC/GO/CIS/BY/Minsk,1.000000038025545,2000.0001,629.8111000000005,2629.8112000000006
138,2010,Q2,6,Employee 12,::DC/GO/CIS/BY/Minsk,1.0000000596545808,2000.0,646.8168000000004,2646.8168000000005
139,2010,Q3,7,Employee 12,::DC/GO/CIS/BY/Minsk,0.9343750076639492,1868.7499,569.6144000000003,2438.3643
140,2010,Q3,8,Employee 12,::DC/GO/CIS/BY/Minsk,0.9404761566724813,1880.9523000000002,636.2477999999996,2517.2000999999996
141,2010,Q3,9,Employee 12,::DC/GO/CIS/BY/Minsk,1.0,2000.0,614.0501000000004,2614.0501000000004
142,2010,Q3,9,Employee 41,::DC/GO/CIS/BY/Minsk,0.6700127913123567,1172.5225,411.4213000000002,1583.9438000000002
143,2010,Q4,10,Employee 12,::DC/GO/CIS/BY/Minsk,1.0,2000.0,637.2293,2637.2293
144,2010,Q4,10,Employee 41,::DC/GO/CIS/BY/Minsk,0.670009129707267,1172.5161,426.9495000000002,1599.4656000000002
145,2010,Q4,11,Employee 12,::DC/GO/CIS/BY/Minsk,1.0,2000.0,589.6517999999996,2589.6517999999996
146,2010,Q4,11,Employee 41,::DC/GO/CIS/BY/Minsk,0.6700128024943773,1172.5225,395.0742000000001,1567.5967
147,2010,Q4,12,Employee 55,::CBU/TR,0.5,800.0,325.4203,1125.4203
148,2010,Q1,3,Employee 49,::DC/GO/CIS/BY/Minsk,0.5909090909090909,1122.7273,311.2726,1433.9999
